,CV_RMSE,CV_R2,CV_Spearman,Test_RMSE,Test_R2,Test_Spearman
Linear Regression,1.7240507677205001,-0.8392037515120041,0.36688666128837466,2.0551829694155717,-1.8085335605274055,0.2818100736730071
Random Forest,0.9707170569677905,0.4208942174979602,0.6210983258108842,0.9701130401809138,0.37421763861976176,0.6152391615664052
XGBoost,0.9710050437064364,0.42039671237193793,0.6171998474230821,0.9748255003963977,0.36812322098432504,0.6182714851753248
LightGBM,0.9716602662897962,0.4195921528923483,0.6175774968400806,0.9701419405457348,0.3741803530516249,0.619429186509279
