,CV_F1,CV_ROC_AUC,Test_F1,Test_ROC_AUC
Logistic Regression,0.6663380879747431,0.8039584122407497,0.6206647398843931,0.812849207951139
Random Forest,0.6332123672486973,0.7843215888849961,0.6028282828282828,0.7884597845507487
XGBoost,0.6570479004281934,0.7796438125801568,0.589110585052418,0.7957816576584658
LightGBM,0.6450344561613153,0.7832243865211403,0.6032689450222882,0.7931746992905575
